jnr	region	name	munnr	year	age	cr	pcl	fecund	ovul	twincr	twinpcl	ca	totcalb	totclut	antov	cweight	day	month	daynr
59	4101	Troms	1920	1981	11	2	0	1	0	1		0	6	0	2	200	4	10	277
81	4101	Troms	1920	1981	10	2	2	1	1	1	1	0	4	2	2	246	7	10	280
472	4101	Troms	1922	1981	4	2	1	1	1	1	0	0	2	1	2	190	8	10	281
475	4101	Troms	1922	1981	1	0	0		0			0	0	0	2	171	0	9	243
476	4101	Troms	1922	1981	3	0	2	0	1		1	0	0	2	2	205	28	9	271
477	4101	Troms	1922	1981	4	2	0	1	0	1		0	4	0	2	210	29	9	272
478	4101	Troms	1922	1981	6	1	0	1	0	0		0	4	0	2	190	29	9	272
481	4101	Troms	1922	1981	1	0	0		0			0	0	0	2	153	30	9	273
483	4101	Troms	1922	1981	2	0	0	0	0			0	0	0	2	120	18	10	291
484	4101	Troms	1922	1981	1	0	0		0			0	0	0	2	170	29	9	272
485	4101	Troms	1922	1981	4	1	1	1	1	0	0	0	2	1	2	196	2	10	275
486	4101	Troms	1922	1981	1	0	1		1		0	0	0	1	2	140	16	10	289
487	4101	Troms	1922	1981	3	0	0	0	0			0	0	0	2	180	7	10	280
70	4101	Troms	1923	1981	3	1	2	1	1	0	1	0	1	2	2	180	18	10	291
630	4101	Troms	1924	1981	10	2	0	1	0	1		0	7	0	2	190	28	9	271
632	4101	Troms	1924	1981	4	2	2	1	1	1	1	0	3	3	2	210	10	10	283
639	4101	Troms	1924	1981	6	1	0	1	0	0		0	2	0	2	224	3	10	276
57	4101	Troms	1924	1981	8	1	1	1	1	0	0	0	4	1	2	240	10	10	283
61	4101	Troms	1924	1981	4	1	1	1	1	0	0	0	2	1	2	230	27	9	270
63	4101	Troms	1924	1981	6	1	2	1	1	0	1	0	1	2	2	200	22	10	295
67	4101	Troms	1924	1981	17	1	1	1	1	0	0	0	6	1	2	215	27	9	270
74	4101	Troms	1924	1981	7	2	2	1	1	1	1	0	4	2	2	200	16	10	289
133	4101	Troms	1924	1981	7	1	0	1	0	0		0	4	0	2	254	7	10	280
72	4101	Troms	1925	1981	6	1	0	1	0	0		0	2	0	2	240	27	9	270
134	4101	Troms	1925	1981	1	0	0		0			0	0	0	2	130	18	10	291
58	4101	Troms	1933	1981	6	1	0	1	0	0		0	4	0	2	260	29	9	272
143	4101	Troms	1933	1981	5	2	1	1	1	1	0	0	3	1	2	200	18	10	291
821	4101	Troms	1922	1982	3	0	0	0	0			0	0	0	2	176	28	9	271
